"","Year","Percent Catholic","Dioceses"
"2350",2013,28.4,"milw"
"2351",2016,29.4,"milw"
"2352",1950,20.9,"supe"
"2353",1966,27.3,"supe"
"2354",1970,27.5,"supe"
"2355",1976,26.9,"supe"
"2356",1980,25.6,"supe"
"2357",1990,22.3,"supe"
"2358",1999,22.4,"supe"
"2359",2000,22.2,"supe"
"2360",2001,22.1,"supe"
"2361",2002,20.8,"supe"
"2362",2003,19.6,"supe"
"2363",2004,19.4,"supe"
"2364",2010,17.2,"supe"
"2365",2013,16.6,"supe"
"2366",2014,16.7,"supe"
"2367",2017,14.6,"supe"
"2368",1950,16.7,"chey"
"2369",1959,16.2,"chey"
"2370",1966,14.5,"chey"
"2371",1970,14.1,"chey"
"2372",1976,12.9,"chey"
"2373",1980,13.9,"chey"
"2374",1990,13.5,"chey"
"2375",1999,10.3,"chey"
"2376",2000,10.3,"chey"
"2377",2001,10.2,"chey"
"2378",2002,10.2,"chey"
"2379",2003,9.1,"chey"
"2380",2004,9.6,"chey"
"2381",2006,9.8,"chey"
"2382",2013,9.9,"chey"
"2383",2016,9.2,"chey"
"2384",1966,23.1,"anch"
"2385",1970,25.1,"anch"
"2386",1976,14.3,"anch"
"2387",1980,9.7,"anch"
"2388",1990,9.6,"anch"
"2389",1999,7.5,"anch"
"2390",2000,7.8,"anch"
"2391",2001,8.7,"anch"
"2392",2002,7.9,"anch"
"2393",2003,8,"anch"
"2394",2004,8.6,"anch"
"2395",2006,6.4,"anch"
"2396",2012,7.3,"anch"
"2397",2015,9.2,"anch"
"2398",2018,9.2,"anch"
"2399",1966,35.2,"bato"
"2400",1970,33.3,"bato"
"2401",1976,26.7,"bato"
"2402",1980,27.1,"bato"
"2403",1990,27.7,"bato"
"2404",1999,25.6,"bato"
"2405",2000,26.8,"bato"
"2406",2001,26.3,"bato"
"2407",2002,25.6,"bato"
"2408",2003,25.6,"bato"
"2409",2004,25.4,"bato"
"2410",2006,24.9,"bato"
"2411",2012,24.7,"bato"
"2412",2015,23.8,"bato"
"2413",1950,13.5,"kcks"
"2414",1965,17.3,"kcks"
"2415",1970,17.6,"kcks"
"2416",1976,15.6,"kcks"
"2417",1980,16.7,"kcks"
"2418",1990,17.9,"kcks"
"2419",1999,20,"kcks"
"2420",2000,20,"kcks"
"2421",2001,16.8,"kcks"
"2422",2002,16.8,"kcks"
"2423",2003,16.8,"kcks"
"2424",2004,16,"kcks"
"2425",2005,16.5,"kcks"
"2426",2006,16.5,"kcks"
"2427",2007,16.7,"kcks"
"2428",2008,16.9,"kcks"
"2429",2009,16.2,"kcks"
"2430",2010,16.2,"kcks"
"2431",2011,16.1,"kcks"
"2432",2012,16.1,"kcks"
"2433",2013,16.1,"kcks"
"2434",2015,16.1,"kcks"
"2435",2016,16.1,"kcks"
"2436",2017,16.1,"kcks"
"2437",2018,13.6,"kcks"
